url,handle_action,destination
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_112_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_113_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_117_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_118_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_120_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_120_00_0002_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_121_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_125_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_127_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_130_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_134_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_154_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
