url,handle_action,destination
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03767_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03768_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03769_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03770_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03771_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03772_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03773_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03774_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03775_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03776_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03777_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03779_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03780_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03781_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03822_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03823_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03824_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03825_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03826_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
https://hdl.loc.gov/loc.music/mu017004.musapschmidt.03827_bak,MODIFY,https://hdl.loc.gov/loc.music/eadmus.mu017004.3
